customer_id,age,marital_status,rented,family_size,childrens,income_range
1,70.0,1,0,2,0,Middle
6,50.5,1,0,2,0,Upper Middle
7,30.5,-1,0,3,1,Middle
8,30.5,-1,0,4,2,Upper Middle
10,50.5,0,0,1,0,Upper Middle
11,70.0,0,0,2,0,Middle
12,50.5,1,0,2,0,Upper Middle
13,40.5,0,0,1,0,Middle
14,30.5,1,1,2,0,Upper Middle
15,50.5,1,0,2,0,Upper Middle
17,40.5,-1,0,1,0,Upper Middle
19,50.5,-1,0,1,0,Middle
22,40.5,0,0,2,0,Middle
27,40.5,1,0,2,0,Upper Middle
28,50.5,-1,0,2,0,Middle
30,70.0,-1,0,1,0,Upper Middle
31,40.5,0,0,5,3,Middle
33,50.5,1,0,5,3,Upper
35,21.5,-1,0,2,0,Middle
36,40.5,1,0,2,0,Middle
38,50.5,0,0,2,0,Upper Middle
39,70.0,1,0,2,0,Middle
40,63.0,1,0,4,2,Upper Middle
41,50.5,0,0,2,0,Middle
42,30.5,1,0,4,2,Upper
45,50.5,1,0,5,3,Middle
48,40.5,1,0,2,0,Middle
51,70.0,1,0,2,0,Middle
52,40.5,1,0,5,3,Upper Middle
53,63.0,-1,0,1,0,Middle
55,50.5,-1,0,2,0,Upper Middle
58,30.5,-1,0,1,0,Middle
59,70.0,0,0,1,0,Middle
66,50.5,-1,0,1,0,Upper Middle
67,40.5,-1,0,2,1,Middle
69,50.5,1,0,4,2,Middle
71,40.5,1,0,5,3,Middle
72,30.5,0,0,3,2,Middle
74,30.5,1,0,2,0,Middle
75,30.5,-1,0,1,0,Middle
78,40.5,1,0,4,2,Upper Middle
79,30.5,-1,0,2,0,Middle
82,70.0,0,0,2,0,Middle
83,50.5,0,0,1,0,Middle
84,50.5,-1,0,1,0,Upper Middle
85,50.5,-1,0,3,1,Middle
87,50.5,0,0,2,0,Middle
89,50.5,-1,0,1,0,Middle
90,50.5,-1,0,2,0,Upper Middle
92,50.5,1,0,2,0,Middle
93,63.0,1,0,2,0,Middle
94,50.5,-1,0,1,0,Upper Middle
97,40.5,0,0,1,0,Upper Middle
103,50.5,-1,0,2,0,Middle
105,40.5,0,0,3,1,Upper Middle
107,21.5,-1,0,2,0,Middle
108,50.5,-1,0,1,0,Upper Middle
110,21.5,1,0,3,1,Upper Middle
112,50.5,-1,0,2,0,Middle
113,63.0,1,0,2,0,Middle
114,30.5,1,0,3,1,Upper Middle
119,50.5,-1,0,1,0,Middle
123,50.5,1,0,2,0,Middle
124,50.5,1,0,2,0,Upper Middle
