brand_type,item_id,category_updated,brand_category
Established,1,Grocery,Large
Established,2,Others,Large
Local,3,Others,Large
Local,4,Grocery,Large
Local,5,Grocery,Large
Local,6,Grocery,Large
Local,7,Pharmaceutical,Large
Local,8,Others,Large
Local,9,Grocery,Large
Local,10,Grocery,Large
Established,11,Pharmaceutical,Large
Local,12,Grocery,Large
Established,13,Grocery,Large
Local,14,Grocery,Large
Local,15,Grocery,Large
Local,16,Grocery,Large
Local,17,Grocery,Large
Local,18,Grocery,Large
Local,19,Pharmaceutical,Large
Local,20,Grocery,Large
Local,21,Grocery,Large
Local,22,Grocery,Large
Local,23,Grocery,Large
Local,24,Grocery,Large
Local,25,Grocery,Large
Local,26,Grocery,Large
Local,27,Grocery,Large
Local,28,Grocery,Large
Local,29,Grocery,Large
Local,30,Grocery,Large
Local,31,Grocery,Large
Local,32,Grocery,Large
Local,33,Grocery,Large
Local,34,Grocery,Large
Local,35,Grocery,Large
Local,36,Grocery,Large
Local,37,Grocery,Large
Local,38,Grocery,Large
Local,39,Grocery,Large
Local,40,Grocery,Large
Local,41,Grocery,Large
Local,42,Grocery,Large
Local,43,Grocery,Large
Local,44,Grocery,Large
Local,45,Grocery,Large
Local,46,Grocery,Large
Local,47,Grocery,Large
Local,48,Others,Large
Local,49,Grocery,Large
Local,50,Grocery,Large
Local,51,Others,Large
Local,52,Grocery,Large
Local,53,Others,Large
Local,54,Others,Large
Local,55,Grocery,Large
Local,56,Others,Large
Local,57,Grocery,Large
Local,58,Grocery,Large
Local,59,Others,Large
Local,60,Others,Large
Local,61,Grocery,Large
Local,62,Grocery,Large
Local,63,Grocery,Large
Local,64,Grocery,Large
Local,65,Others,Large
Local,66,Grocery,Large
Local,67,Grocery,Large
Local,68,Grocery,Large
Local,69,Others,Large
Local,70,Grocery,Large
Established,71,Grocery,Large
Local,72,Grocery,Large
Established,73,Grocery,Large
Local,74,Others,Large
Local,75,Grocery,Large
Established,76,Grocery,Large
Established,77,Grocery,Large
Local,78,Grocery,Large
Local,79,Grocery,Large
Local,80,Grocery,Large
Established,81,Grocery,Large
Local,82,Grocery,Large
Local,83,Grocery,Large
Local,84,Grocery,Large
Local,85,Grocery,Large
Established,86,Grocery,Large
Local,87,Others,Large
Local,88,Others,Large
Local,89,Others,Large
Local,90,Grocery,Large
Local,91,Pharmaceutical,Large
Local,92,Grocery,Large
Local,93,Pharmaceutical,Large
Local,94,Grocery,Large
Established,95,Grocery,Large
Local,96,Pharmaceutical,Large
Established,97,Grocery,Large
Established,98,Grocery,Large
Established,99,Grocery,Large
Established,100,Grocery,Large
Local,101,Grocery,Large
Established,102,Grocery,Large
Established,103,Pharmaceutical,Large
Local,104,Grocery,Large
Established,105,Grocery,Large
Local,106,Grocery,Large
Established,107,Grocery,Small
Established,108,Others,Large
Established,109,Grocery,Large
Local,110,Grocery,Large
Established,111,Grocery,Large
Local,112,Grocery,Large
Established,113,Grocery,Large
Established,114,Grocery,Large
Established,115,Others,Large
Established,116,Grocery,Large
Local,117,Others,Large
Local,118,Grocery,Large
Established,119,Pharmaceutical,Large
Established,120,Pharmaceutical,Large
Established,121,Pharmaceutical,Large
Established,122,Grocery,Large
Local,123,Grocery,Large
Established,124,Grocery,Large
Established,125,Grocery,Large
Established,126,Pharmaceutical,Large
Established,127,Grocery,Large
Established,128,Grocery,Large
Local,129,Grocery,Large
Established,130,Pharmaceutical,Large
Local,131,Others,Large
Local,132,Grocery,Large
Established,133,Pharmaceutical,Large
Established,134,Grocery,Large
Local,135,Grocery,Large
Local,136,Grocery,Large
Established,137,Grocery,Large
Local,138,Grocery,Large
Local,139,Grocery,Large
Local,140,Others,Large
Established,141,Pharmaceutical,Large
Established,142,Grocery,Large
Local,143,Grocery,Large
Local,144,Grocery,Large
Established,145,Grocery,Large
Local,146,Grocery,Large
Established,147,Grocery,Large
Local,148,Grocery,Large
Local,149,Grocery,Large
Local,150,Pharmaceutical,Large
Established,151,Pharmaceutical,Large
Local,152,Others,Large
Local,153,Others,Large
Established,154,Grocery,Large
Established,155,Grocery,Large
Established,156,Pharmaceutical,Large
Established,157,Pharmaceutical,Large
Established,158,Grocery,Large
Local,159,Grocery,Large
Local,160,Grocery,Large
Established,161,Pharmaceutical,Large
Established,162,Grocery,Large
Established,163,Grocery,Large
Local,164,Grocery,Large
Local,165,Grocery,Large
Established,166,Grocery,Large
Established,167,Grocery,Large
Local,168,Grocery,Large
Established,169,Grocery,Large
Established,170,Grocery,Large
Established,171,Grocery,Large
Established,172,Pharmaceutical,Large
Established,173,Pharmaceutical,Large
Established,174,Grocery,Large
Established,175,Grocery,Large
Established,176,Grocery,Large
Local,177,Grocery,Large
Established,178,Grocery,Large
Local,179,Grocery,Large
Local,180,Others,Large
Established,181,Grocery,Large
Local,182,Others,Large
Local,183,Others,Large
Established,184,Grocery,Large
Established,185,Grocery,Large
Local,186,Others,Large
Established,187,Pharmaceutical,Large
Established,188,Grocery,Large
Established,189,Grocery,Large
Established,190,Grocery,Large
Established,191,Grocery,Large
Established,192,Grocery,Large
Established,193,Grocery,Large
Established,194,Grocery,Large
Established,195,Grocery,Large
Local,196,Others,Large
Local,197,Grocery,Large
Established,198,Pharmaceutical,Large
Established,199,Grocery,Large
Established,200,Pharmaceutical,Large
Local,201,Grocery,Large
Local,202,Others,Large
Local,203,Grocery,Large
Established,204,Grocery,Large
Established,205,Grocery,Large
Local,206,Others,Large
Local,207,Others,Large
Established,208,Pharmaceutical,Large
Established,209,Grocery,Large
Local,210,Grocery,Large
Established,211,Pharmaceutical,Large
Local,212,Grocery,Large
Established,213,Grocery,Large
Established,214,Grocery,Large
Established,215,Grocery,Large
Established,216,Grocery,Large
Local,217,Grocery,Large
Local,218,Grocery,Large
Established,219,Grocery,Large
Local,220,Grocery,Large
Local,221,Grocery,Large
Established,222,Pharmaceutical,Large
Established,223,Grocery,Large
Established,224,Grocery,Medium
Established,225,Pharmaceutical,Large
Established,226,Grocery,Large
Local,227,Grocery,Large
Local,228,Grocery,Large
Local,229,Grocery,Large
Local,230,Grocery,Large
Established,231,Grocery,Large
Local,232,Grocery,Large
Local,233,Grocery,Large
Local,234,Grocery,Large
Local,235,Grocery,Large
Established,236,Others,Large
Local,237,Pharmaceutical,Large
Local,238,Grocery,Large
Local,239,Grocery,Large
Established,240,Grocery,Large
